;sent_1;sent_2;answer
18;"""Губернатор дал поручение разобраться в ситуации с привлечением правоохранительных и надзорных ведомств МР; виновные будут наказаны"", — сообщила Попова.";"""Сотрудниками полиции обеспечивалась охрана общественного порядка на месте перекрытия трассы и проводилась разъяснительная работа с жителями села о необходимости согласования проведения подобных акций и недопущения нарушения общественного порядка"", — отмечают в главке.";0.0
19;Эгельбарт был первопроходцем в области попыток сделать компьютер удобным в обращении.;Коммерческое использование мыши началось лишь в 1984 году, когда компания Apple сделала мышь одним из ключевых элементов своей новой модели компьютера Macintosh.;0.0
20;Установлено, что указанную сумму подозреваемые требовали у заместителя генерального директора фермерского хозяйства за неисполнение решения арбитражного суда о взыскании 37 млн рублей в качестве существующего долга.;"""Указанную сумму подозреваемые требовали у заместителя генерального директора фермерского хозяйства за неисполнение решения арбитражного суда о взыскании 37 миллионов рублей в качестве существующего долга.";1.0
21;Силуанов также сообщил, что Минфин не исключает необходимости использования средств Резервного фонда в 2014-2015 годы для покрытия дефицита федерального бюджета.;Министр финансов РФ Антон Силуанов не видит возможности для реализации указов президента РФ и инфраструктурных проектов без проведения бюджетного маневра.;0.0
22;Его жена и дочь также утверждают, что никаких денег при обыске в доме найдено не было.;Градоначальника в ночь на среду доставили в отделение полиции, в его квартире провели обыск, в ходе которого, по данным МВД, нашли 500 тысяч долларов, а у его пресс-секретаря — еще 200 тысяч долларов.;0.0
23;Елена Лукаш (1976 г.р.) — с 2006 по 2007 гг. была первым заместителем министра Кабинета министров, в 2007 году — народный депутат фракции Партии регионов, с апреля 2011-го — советник президента Украины — представитель президента в Конституционном суде.;Президент Украины Виктор Янукович освободил от должности министра юстиции Александра Лавриновича и назначил на этот пост Елену Лукаш, которая до этого была министром кабинета министров.;0.0
24;"Все силы, которые в этой теме находятся, приняли решения – ""Югтрансгаз"", ""Облводоресурс"", население…";"""В настоящее время водоснабжение населенного пункта восстановлено … Глава региона поставил задачу в кратчайшие сроки выяснить причины сбоя водоснабжения и подачи некачественной воды в дома, определить степень ответственности управляющей компании, муниципальной власти в сложившейся ситуации … В ближайшее время будут сделаны выводы, виновные понесут наказание"", — говорится в сообщении.";0.0
25;"""Не в пользу рубля были и вчерашние макроэкономические данные: инфляция за неделю в 0,4%, и снижение сальдо счета текущих операций до 6,900 млн долларов при ожиданиях 12,950 млн долларов"", — напомнил Зайцев.";Официальный курс евро к рублю, установленный ЦБ РФ на пятницу, вырос на 2,18 копейки — до 43,0954 рубля, курс доллара снизился на 5,99 копейки, составив 33,1605 рубля, следует из данных Банка России.;0.0
26;"Так, в 1970 году он изобрел и запатентовал устройство ввода, названное позже ""компьютерная мышь"".";Самым известным изобретением Энгельбарта стала компьютерная мышь — устройство, преобразующее механические движения пользователя в электронные сигналы для управления компьютером.;0.0
27;О том, что идея выдвижения Северной столицы в качестве кандидата на право проведения летних Олимпийских игр 2024 года является реальным проектом, заявил президент Федерации тенниса России (ФТР), член Международного олимпийского комитета (МОК) Шамиль Тарпищев.;"Идея выдвижения Санкт-Петербурга в качестве кандидата на право проведения летних Олимпийских игр 2024 года является реальным проектом, заявил агентству ""Р-Спорт"" президент Федерации тенниса России (ФТР), член  Международного олимпийского комитета (МОК)   Шамиль Тарпищев .";1.0
28;По данным издания, Пойкалайнен заявил ходатайство о заключении досудебного соглашения о сотрудничестве.;Ранее сообщалось, что один из них заявил ходатайство о заключении досудебного соглашения о сотрудничестве — то есть признал вину.;0.0
29;"""По арабскому миру бродит ""призрак демократии"" — перемазанный кровью, с автоматом наперевес и лицом боевика, пожирающего сердце своего врага"", — написал он в Twitter.";По словам неназванного высокопоставленного представителя командования, Мурси задержан в связи с возможным предъявлением ему обвинений.;0.0
30;В дальнейшем  будет поквартирный и подомовой обход, чтобы проверить качество воды.;"""В настоящее время водоснабжение населенного пункта восстановлено … Глава региона поставил задачу в кратчайшие сроки выяснить причины сбоя водоснабжения и подачи некачественной воды в дома, определить степень ответственности управляющей компании, муниципальной власти в сложившейся ситуации … В ближайшее время будут сделаны выводы, виновные понесут наказание"", — говорится в сообщении.";0.0
31;В частности, резко возросли рейтинги на самые востребованные специальности — экономика и юриспруденция.;(Агентство РИА Новости не несет ответственности за информацию, опубликованную российскими газетами)    ИЗВЕСТИЯ    www.izvestia.ru    — После скандалов на ЕГЭ возросли проходные баллы — Министерство образования и науки закончило проверку результатов единых госэкзаменов по всей России и укомплектовало предметы для расчета необходимых при поступлении в вузы в 2013 году проходных баллов.;0.0
32;По последним данным, в столкновениях противников и сторонников Мурси погибли 32 человека.;По последним данным, в продолжающихся столкновениях противников и сторонников Мурси погибли более 30 человек.;1.0
33;В полиции отмечают, что сотрудника МЧС задержали с поличным при получении взятки в размере 50 тысяч рублей за непривлечение к административной ответственности гендиректора коммерческой фирмы.;Начальник тыла ОМВД по району Головинский задержан в четверг по подозрению в получении взятки в полмиллиона рублей в Москве, сообщил столичный главк МВД.;0.0
34;Житель города Андрей Захаров обвиняется в покушении на посредничество во взяточничестве.;"Житель Ярославля Андрей Захаров был задержан на территории местной фирмы ""Радострой"", с руководителя которой сотрудники мэрии, по данным следствия, и требовали ""откат"".";0.0
35;"Всего ОАО ""КСК"" выплатило ООО ""1ГСК"" порядка 275 млн рублей за якобы проведенную им проверку выполненных работ в одной из подрядных организаций.";"""Полицейские выясняют, при каких обстоятельствах в 2011 году технический заказчик ОАО ""КСК"" — ООО ""Первая горностроительная компания"" (далее — ООО ""1ГСК"") получил право на осуществление работ, не имея на это необходимых лицензий … Всего ОАО ""КСК"" выплатило ООО ""1ГСК"" порядка 275 миллионов рублей за якобы проведенную им проверку выполненных работ в одной из подрядных организаций"", — говорится в сообщении.";0.0
37;"""Закон, который был принят, нуждается в уточнении.";"""Закон, который был принят, нуждается в уточнении.";1.0
38;Мосгорсуд 8 февраля вынес обвинительный приговор в отношении отставного полковника ГРУ Владимира Квачкова по делу о подготовке мятежа.;Верховный суд (ВС) РФ 17 июля рассмотрит жалобу на приговор отставному полковнику Владимиру Квачкову, осужденному за попытку организовать вооруженное восстание, сообщает официальный сайт суда.;0.0
39;Наиболее ожесточенные столкновения сторонников Мурси с силовиками были отмечены в Александрии, Мерса-Матрухе и Эль-Минье.;Наиболее ожесточенные столкновения сторонников Мурси с силовиками были отмечены в Александрии, Мерса-Матрухе и Эль-Минье.;1.0
40;Позже приговор одной из них — Екатерине Самуцевич — заменили на условный.;Мосгорсуд 10 октября изменил Самуцевич наказание на условное и освободил из-под стражи в зале суда, приговор Алехиной и Толоконниковой был оставлен в силе.;1.0
41;"Представитель правящего движения ""Братья-мусульмане"" Джихад аль-Хаддад заявил, что военные начали осуществлять полномасштабный военный переворот.";Глава государства и его сторонники из числа исламистов отвергли ультиматум военных.;0.0
42;Ранее сегодня Путин поручил проработать вопрос о разделении в законе об НКО организаций на те, что занимаются политической деятельностью, и те, которые относятся к социальной сфере.;"В ноябре 2012 года вступил в силу закон, который, в частности, обязывает российские НКО, финансируемые из-за рубежа и занимающиеся политической деятельностью, регистрироваться в качестве ""иностранных агентов"".";0.0
43;Между тем Мурси отказался уходить в отставку и назвал обращение армии военным переворотом.;По последним данным, в столкновениях противников и сторонников Мурси погибли 32 человека.;0.0
44;Люди также пришли к президентскому дворцу, чтобы выразить свою солидарность с президентом.;Люди также пришли к президентскому дворцу, чтобы выразить свою солидарность с президентом.;1.0
45;"Этот вопрос сейчас не стоит, если запрос будет сделан, он будет изучен, но это дело юридически крайне сложное"", — сказал Вальс в эфире телеканала BFM TV.";"Этот вопрос сейчас не стоит, если запрос будет сделан, он будет изучен, но это дело юридически крайне сложное"", — сказал Вальс в эфире телеканала  BFM TV .";1.0
46;Водитель машины получил травмы.;Водители машин ожидали на месте аварии сотрудника ГИБДД для оформления происшествия.;0.0
47;Фьючерсы на американскую легкую нефть (WTI) подешевели на 17 центов до $101,07 за баррель, отступив от 14-месячного пика $102,18, достигнутого на предыдущей сессии, сообщает  Reuters .;Стоимость августовских фьючерсов на легкую нефть марки WTI повысилась на 0,13% и составила 101,37 доллара за баррель.;0.0
48;"— Очевидно, что его основные направления формируются под непосредственным влиянием и заданы бюджетным посланием президента, прогнозами социально- экономического развития до 2030 года и основными направлениями правительства до 2018 года"".";"""Серьезные риски присутствуют не только сегодня, но и в среднесрочной перспективе, мы обязаны эти объективные ограничения учитывать, прежде всего, при прогнозировании доходной части бюджета"", — сказал он на заседании правительства, на котором рассматривается проект федерального бюджета на 2014-2016 годы.";0.0
49;Об этом стало известно из сообщений на официальном сайте суда.;"Кадры из суда    Квачков был фигурантом дела о покушении на убийство главы РАО ""ЕЭС России"" Анатолия Чубайса.";0.0
50;Тем временем из Египта приходят сообщения, что египетские власти уже предложили бывшему главе Центробанка занять должность временного премьер-министра.;"По его словам, Париж ""принял к сведению"" события последних дней в Египте и сообщения о том, что в стране после переходного периода пройдут новые выборы главы государства.";0.0
51;Ранее сегодня сообщалось, что египетская полиция и армия пытаются прекратить акции протеста сторонников отстраненного от власти президента-исламиста Мухаммеда Мурси в Каире, блокировав их на площади.;"Как военные Египта взялись за ""Братьев-мусульман""    В среду вечером армия Египта начала аресты сторонников президента Мохаммеда Мурси из числа лидеров движения ""Братьев-мусульман"".";0.0
52;Следователи Петербурга возбудили в отношении него уголовное дело.;"Расследование уголовного дела по статье ""покушение на посредничество во взяточничестве"" продолжается.";0.0
53;"""Совместно с таможенной службой создаем информационный ресурс, который будет содержать данные о владельцах всех транспортных средств, которые пересекли границу Российской Федерации"", — проинформировал он.";"Совместно с таможенной службой создаем информационный ресурс, который будет содержать данные о владельцах всех транспортных средств, которые пересекли границу Российской Федерации"", — сказал Нилов.";0.0
55;Возложенные на Фонд социального страхования (ФСС) обязательства по страхованию от временной нетрудоспособности должны и будут обеспечены в полном объеме.;Бюджет фонда обязательного медицинского страхования в 2014 году будет сбалансирован, сказал премьер-министр Дмитрий Медведев, выступая в четверг на заседании правительства.;0.0
57;Вся республика восстала, как так наши дети страдают!;Вся республика восстала, как так — наши дети страдают!;1.0
58;Торги на российском фондовом рынке стартовали в четверг ростом основных индексов: ММВБ к 10:00 мск прибавил 0,44% и достиг 1339,27 пункта, индекс РТС к этому времени подрос на 0,65% до 1272,50 пункта.;Индекс РТС к 10.01 мск вырос на 0,63% — до 1272,25 пункта, индекс ММВБ вырос на 0,45% — до 1339,41 пункта, свидетельствуют данные Московской биржи.;0.0
59;Главный врач Федерального центра сердечно-сосудистой хирургии Сергей Суханов уже принял решение уволить заведующего отделением анестезиологии и реанимации.;Общественная палата взяла под контроль расследование инцидента в Центре сердечно-сосудистой хирурги в Перми, где пациент погиб после избиения врачом, сообщила в четверг пресс-служба ОП.;0.0
60;"Проверяется информация о том, что услуги данной компании регулярно оплачивались бывшим руководством ОАО ""КСК"" вне зависимости от их реальной деятельности.";"Как уточнило ведомство, услуги ""1ГСК"" регулярно оплачивались бывшим руководством ОАО ""КСК"", ежемесячно фирма получала более 20 миллионов рублей.";1.0
61;"""Губернатор дал поручение разобраться в ситуации с привлечением правоохранительных и надзорных ведомств МР; виновные будут наказаны"", — сообщила Попова.";"""В настоящее время водоснабжение населенного пункта восстановлено … Глава региона поставил задачу в кратчайшие сроки выяснить причины сбоя водоснабжения и подачи некачественной воды в дома, определить степень ответственности управляющей компании, муниципальной власти в сложившейся ситуации … В ближайшее время будут сделаны выводы, виновные понесут наказание"", — говорится в сообщении.";0.0
62;Как сообщили в региональном управлении Роспотребнадзора, 3 и 4 июля за медицинской помощью с симптомами отравления обратились 53 ребенка и вожатый.;Вспышка острой кишечной инфекции зафиксирована в детском оздоровительном лагере в Сысертском районе Свердловской области, к медикам обратились более 40 детей, сообщает в четверг региональное управление Роспотребнадзора.;1.0
63;Как сообщалось, накануне армия страны сместила с поста египетского президента после безуспешных попыток убедить его подать в отставку добровольно.;"Генпрокуратура Египта в четверг выдала ордера на арест верховного наставника движения ""Братьев-мусульман"" Мухаммеда Бадиа и его помощника Хейрата аш-Шатыра, сообщило официальное информагентство МЕНА.";0.0
66;В среду армия страны сместила с поста египетского президента после безуспешных попыток убедить его подать в отставку добровольно.;"Временный президент Египта Адли Мансур пригласил исламское движение ""Братья-мусульмане"", лидеры которого оказались в тюрьме после отстранения от власти президента Мухаммеда Мурси, участвовать в ""строительстве будущего"" страны, сообщает египетский новостной интернет-портал ""Аль-Ахрам"".";0.0
67;На 1 января 2013 года они составляли $537,618 млрд.;В период кризиса резервы снижались до 376 миллиардов долларов (в середине марта 2009 года).;0.0
69;"Если они ответят на этот призыв — добро пожаловать"", — цитирует портал Al Akhram заявление Мансура.";"Если они ответят на этот призыв — добро пожаловать"", — сказал Мансур на короткой пресс-конференции после вступления в должность.";0.0
70;Драги вновь пообещал, что ЕЦБ будет придерживаться стимулирующей денежно-кредитной политики столько, сколько потребуется для восстановления экономики валютного блока.;Драги не уточнил, о каком именно периоде времени идет речь, однако добавил, что ставки будут оставаться низкими столько, сколько необходимо для восстановления экономики региона.;0.0
71;После публикации данного скандального видеоролика сотрудники Главного управления МВД выехали в Федеральный центр сердечно-сосудистой хирургии в городе Пермь.;Ранее сообщалось, что в среду на сайте одного из интернет-изданий была опубликована информация о том, что находившийся на лечении в Федеральном центре сердечно-сосудистой хирургии, расположенном в Ленинском районе города Перми,  пациент был избит медицинским работником  и после этого скончался.;0.0
72;Доходы Пенсионного фонда России в 2014 году составят 6,750 трлн руб., а расходы — 6,720 трлн руб.;"Расходы на финансирование системы ОМС на территории субъектов в 2014 году составят также около 1,2 триллиона рублей"", — сказал Медведев.";0.0
73;"По официальной версии СК, Урлашов и трое его подчиненных требовали у руководителя ООО ""Радострой"" Сергея Шмелева, чья компания занята в уборке города, ""откат"" в 45 млн рублей.";"По версии следствия, Урлашов и трое его подчиненных требовали у предпринимателя, занимающегося уборкой города, ""откат"" в 45 миллионов рублей.";0.0
74;Временным главой страны был назначен председатель Конституционного суда.;В среду армия Египта отстранила президента-исламиста от власти, временно приостановила действие конституции и поручила главе Конституционного суда страны Адли Мансуру на переходный период выполнять обязанности главы государства.;1.0
75;Известно, что сотрудники полиции задержали мужчину с самодельной бомбой.;В свою очередь, сотрудники полиции задержали мужчину с самодельным взрывным устройством.;1.0
77;Медики советуют родственникам отключить бывшего президента ЮАР Нельсона Манделу от системы жизнеобеспечения.;Врачи советовали родственникам отключить экс-президента ЮАР Нельсона Манделу от системы жизнеобеспечения, сообщает в четверг агентство  Франс Пресс .;0.0
79;Дипломат выразила надежду, что КНР и Египет сохранят дружественные отношения, не зависимо от развития ситуации в Египте.;Дипломат выразила надежду, что КНР и Египет сохранят дружественные отношения, не зависимо от развития ситуации в Египте.;1.0
80;У киевлян отличились Денис Гармаш (8-я минута) и Дуду (58).;Джорджевич, вышедший на замену на 68-й минуте, успел за отведенное ему время забить один мяч и сделать голевой пас.;0.0
81;Результат оказался лучше ожиданий экспертов, которые прогнозировали рост показателя на 160 тыс.;Аналитики прогнозировали , что российский рынок акций на открытии торгов в четверг продемонстрирует положительную динамику на фоне увеличения цен на нефть.;0.0
82;Такое мнение высказал президент России Владимир Путин на совещании по развитию банковской системы.;"Надо действовать, принимать и безотлагательно проводить в жизнь взвешенные системные шаги"", — сказал Путин на совещании по развитию банковской системы.";0.0
83;Как сообщает официальное информагентство МЕНА, им могут быть предъявлены обвинения в убийстве демонстрантов.;Сообщается, что им могут быть предъявлены обвинения в убийстве демонстрантов.;1.0
85;Атмосферное давление останется повышенным и в середине дня составит 751 мм рт. ст., что немного выше нормального, влажность воздуха около 40%.;По прогнозам синоптиков, в течение дня ветер будет юго-западным, слабым, атмосферное давление — чуть выше нормы — 764 миллиметра ртутного столба.;0.0
86;Он доставит на лечение в Россию девушку 1988 года рождения.;"Он доставит на лечение в Россию девушку 1988 года рождения"", — сказала Россиус, добавив, что на борту самолета находятся врачи и психологи.";0.0
87;В видеозале можно посмотреть малоизвестные широкой публике интервью с теми, кого он знал, когда жил здесь.;В музее есть видеозал, где посетители могут посмотреть малоизвестные широкой публике интервью с теми, кого знал актер, когда жил в этой деревне.;0.0
88;Расходы бюджетов планируются на уровне 9,5 трлн рублей в 2014 году с последующим ежегодным приростом примерно на 10%.;Минфин прогнозирует сокращение суммарного дефицита бюджетов субъектов РФ в 2014 году до уровня в 100 миллиардов рублей с дальнейшим снижением показателя в 2015-2016 годах, сообщил министр финансов Антон Силуанов на заседании правительства.;0.0
89;Сейчас специалисты возводят дополнительные укрепления, чтобы избежать дальнейшего обрушения породы.;Обрушение породы произошло накануне вечером.;0.0
90;Накануне число заболевших продолжило увеличиваться: в среду были госпитализированы в центральную горбольницу два ребенка с энтеровирусной инфекцией.;Заболевание энтеровирусом было зафиксировано в Ростове с начала июня.;0.0
92;В Египте будет сформирован технический кабинет министров и комитет по пересмотру конституции.;В ночь на четверг армия Египта отстранила президента-исламиста Мухаммеда Мурси от власти, временно приостановила действие конституции и поручила главе Конституционного суда страны Адли Мансуру на переходный период выполнять обязанности главы государства.;0.0
